Label,Number,Company,Type,Zone,Task type,State,Commercial,Technique,Amount,% Réussite,Début,Proposition
14492 - elasticsearch,14492,GIE AGORA,Développement,GSO,LPS | Forfait,Qualification,DESCHUTTER,VALENTIN,5000,30%,4/14/2016,6/14/2016
14493 - accompagnement JS,14493,GIE AGORA,Conseil,GSO,LPS | Forfait,Qualification,DESCHUTTER,VALENTIN,4000,50%,4/14/2016,6/14/2016
14485 - UGAP - solution sous Raspberry,14485,COMMUNAUTE URBAINE DE BORDEAUX,Développement,GSO,LPS | Forfait,Signée,DESCHUTTER,VALENTIN,13913.34,100%,4/14/2016,4/21/2016
12597 - Besoin Linshare,12597,MAIRIE DE CHOLET,LinShare,Paris,LPS | Assistance,Qualification,BOSSHARD,MARTIN,3000,1%,5/14/2014,5/1/2016
14495 -  OBM Assistance 3,14495,BRAKE FRANCE SERVICE,OBM,Paris,LGS l Service Assistance,Signée,ZAPOLSKY,CHAPELLON,5000,100%,4/15/2016,4/15/2016
14496 - CCAP 16 00035 TMA lot 1,14496,EDF - DIRECTION DES ACHATS,Support,Paris,LPS | Assistance,Perdue,CONTE,MAUDET,20000,0%,4/14/2016,4/21/2016
14497 [UGAP] dev owncloud,14497,CNRS DSI,Développement,GSO,LPS | Assistance,Signée,DESCHUTTER,VALENTIN,30120.08,100%,4/18/2016,4/20/2016
14499 - Messagerie,14499,EREMS - VALAB,OBM,GSO,LGS l Service Forfait,Sans suite,DESCHUTTER,VALENTIN,15000,0%,4/18/2016,4/28/2016
14511 - SDOS,14511,SOCIETE DES ALCOOLS DU QUEBEC,Conseil,CANADA,LCS | Forfait,Sans suite,IVOL,MAUDET,40000,0%,4/18/2016,4/18/2016
14500 - pack 20 jusque novembre 2016,14500,CNAF,OSSA,Paris,LRS | Support,Sans suite,VASSILIEFF,MAUDET,16833,0%,4/19/2016,4/22/2016
14501 - Introduction aux SGBD NoSQL et aide Ã  la décision,14501,VIGIMILIA,Formation,GSE,LTS | Intra,Signée,PHILIPPENKO,VALENTIN,1950,100%,4/19/2016,4/20/2016
14502 - Formation NoSQL (MongoDB ou autre),14502,VIGIMILIA,Formation,GSE,LTS | Intra,Signée,PHILIPPENKO,VALENTIN,4550,100%,4/19/2016,4/20/2016
14503 - Kit de dev (UGAP),14503,CNRS DSI,Développement,GSO,LPS | Assistance,Signée,DESCHUTTER,VALENTIN,6982.16,100%,4/19/2016,4/29/2016
