Label,Number,Company,Type,Zone,Task type,State,Commercial,Technique,Amount,% Réussite,Début,Proposition
12651 - OBM VM dédié,12651,SYMARIS,OBM,Paris,LRS | Hosting,Sans suite,BENHADDOU,DUFAY,3800,30%,6/4/2014,7/9/2014
13849 -Hébergement (Support logiciel Libres Pack 20?),13849,ECOLE DU LOUVRE,Support,Paris,LRS | Support,Sans suite,STG_SIRIGU,MAUDET,20000,20%,7/2/2015,9/22/2016
13961 - STRATEGIE OPEN SOURCE,13961,GIE IRIS GROUPE SYSTEME U,Conseil,Paris,LPS | Assistance,Sans suite,CONTE,MAUDET,0,10%,9/2/2015,9/21/2015
14281 - Mise en place d'OBM & LinShare,14281,MAIRIE DE YOPOUGON,OBM,Paris,LGS l Service Forfait,Négociation,KISAKA,MAUDET,50000,25%,1/4/2016,4/1/2016
14282 - Services collaboratifs SAAS,14282,LA POSTE - DSI,OBM,GSO,LGS l Souscription,Sans suite,DESCHUTTER,VALENTIN,80000,30%,1/4/2016,9/15/2016
14283 - expertise mono,14283,GENDARMERIE NATIONALE,Support,Paris,LRS | Support,Sans suite,VASSILIEFF,MAUDET,7645,60%,1/4/2016,1/29/2016
14289 - SDOS,14289,VILLE DE SHERBROOKE,Conseil,CANADA,LCS | Forfait,Sans suite,IVOL,MAUDET,20000,10%,1/4/2016,4/13/2016
14290 - SDOS,14290,LA CAPITALE,Conseil,CANADA,LCS | Forfait,Sans suite,IVOL,MAUDET,20000,70%,1/4/2016,4/18/2016
14284 - UGAP - Intégration Firefox : documentation et accompagnement,14284,CD04,Infra,GSE,LPS | Forfait,Signée,PHILIPPENKO,VALENTIN,4841.64,100%,1/5/2016,1/7/2016
13614 - UGAP - Formation Postgres,13614,CONSEIL GENERAL DU VAR (CG 83),Formation,GSE,LPS | Assistance,Sans suite,PHILIPPENKO,VALENTIN,3000,20%,3/6/2015,4/16/2015
14295 - Mise en place de Linshare,14295,VILLE DE SAINT MICHEL SUR ORGE,LinShare,Paris,LGS l Service Forfait,Sans suite,STG_SIRIGU,MARTIN,5000,40%,1/7/2016,7/15/2016
14296 - [UGAP] LinSign JWS,14296,ASP PUBLIC,LinPKI,GSO,LGS l Service Forfait,Signée,DESCHUTTER,VALENTIN,44797.9,100%,1/7/2016,4/1/2016
14297 - AT Drupal 6,14297,NEWFARM AGRICONSULT,Studio,Paris,LPS | Assistance,Signée,BENHADDOU,MOUTON,1000,10%,1/7/2016,3/1/2016
14298 - migrationD8,14298,AGENCE BIBLIOGRAPHIQUE DE L'ENSEIGNEMENT SUPERIEUR,Studio,GSO,LPS | Forfait,Qualification,DESCHUTTER,VALENTIN,50000,30%,1/7/2016,1/29/2016
14299 - Marché PII - Lot 3 SLL 2016,14299,UGAP - UNION DES GROUPEMENTS D'ACHATS PUBLICS,OSSA,Paris,LRS | OSSA,Sans suite,VASSILIEFF,MAUDET,0,0%,1/7/2016,6/6/2016
14010 - Mise en place de Linshare [UGAP],14010,VILLE DE NANTERRE,LinShare,Paris,LGS l Service Forfait,Signée,BENHADDOU,CHAPELLON,4841.64,100%,9/22/2015,9/29/2015
14227 - LinPKI,14227,ADIE SENEGAL,LinPKI,Paris,LGS l Service Assistance,Perdue,KISAKA,MAUDET,200000,0%,1/8/2016,3/25/2016
14300 - OBM Online  AO CDG 59 2015-19,14300,COMMUNE DE SARS ET ROSIERES,OBM,Paris,LGS l Souscription,Signée,CONTE,CHAPELLON,54,100%,1/8/2016,1/8/2016
13667 - UGAP - Assistance sur Liferay,13667,CONSEIL GENERAL DU VAR (CG 83),Studio,GSE,LPS | Assistance,Sans suite,PHILIPPENKO,VALENTIN,1,0%,3/30/2015,5/14/2015
14302 -[UGAP]  Dev et mise en open source Logiciel Reporting - Suricate,14302,CH SAINT LO,Développement,Paris,LPS | Assistance,Sans suite,STG_SIRIGU,MAUDET,8000,0%,1/9/2016,7/15/2016
14303 - Schéma Directeur Open Source,14303,CH SAINT LO,Conseil,Paris,LCS | Forfait,Sans suite,STG_SIRIGU,MAUDET,15000,0%,1/9/2016,7/14/2016
14304 - Projet IAM,14304,CROIX ROUGE,LinID,Paris,LGS l Service Forfait,Sans suite,CONTE,CHAPELLON,20000,0%,1/9/2016,2/15/2016
14305 - Mission Ingénieur Dev PHP,14305,S.N.I.,Studio,Paris,LPS | Assistance,Perdue,BENHADDOU,CAMICAS,100000,0%,1/9/2016,1/18/2016
14306 - AO Messagerie Externalisé,14306,CAMIEG,OBM,Paris,LGS l Souscription,Sans suite,BENHADDOU,CHAPELLON,8000,0%,1/9/2016,1/20/2016
12003 - Installation et Support LinShare,12003,NEXTER GROUP,LinShare,Paris,LGS l Souscription,Négociation,BOSSHARD,MARTIN,18000,1%,9/18/2013,11/20/2014
12251 - [UGAP] Migration OBM,12251,MAIRIE DE REMIREMONT,OBM,Paris,LGS l Service Forfait,Sans suite,BENHADDOU,MAUDET,24826,0%,12/20/2013,7/18/2014
13626 - UGAP - Prestation sur Alcasar,13626,CONSEIL GENERAL DU VAR (CG 83),Infra,GSE,LPS | Assistance,Sans suite,PHILIPPENKO,VILAREM,1200,0%,3/11/2015,4/15/2015
14307 - Prestatiosn expertie dev agile,14307,EDF - DIRECTION DES ACHATS,Studio,Paris,LPS | Assistance,Sans suite,CONTE,ZAPOLSKY,0,0%,1/11/2016,1/13/2016
14308 - OBM Online AO CDG 59 2015-19,14308,VILLE DE LA MADELEINE,OBM,Paris,LGS l Souscription,Signée,CONTE,CHAPELLON,7026,100%,1/4/2016,1/7/2016
14309 - Journée Expertise LinID,14309,BIBILOTHEQUE PUBLIQUE D'INFORMATION (BPI),LinID,Paris,LGS l Service Assistance,Signée,BOISSONNET,CHAPELLON,1400,100%,1/11/2016,1/11/2016
14310 - Intervention Drupal 6 Guide du cloud,14310,CBP,Studio,Paris,LPS | Assistance,Signée,ZAPOLSKY,MOUTON,10500,100%,1/11/2016,1/12/2016
13307 - [UGAP] migration messagerie,13307,CONSEIL GENERAL DE LA MARNE (CG 51),OBM,Paris,LGS l Service Assistance,Sans suite,CONTE,MAUDET,53690,0%,11/14/2014,2/11/2015
14311 - Petals ESB,14311,NCTR,Petals,Paris,LGS l Service Forfait,Négociation,KISAKA,ESCUDIE,120000,40%,12/28/2015,1/10/2016
14312 - UGAP - Tutorat pour l'exploitation du site Marseille.fr,14312,VILLE DE MARSEILLE,Studio,GSE,LPS | Forfait,Sans suite,CONTE,MOUTON,5000,0%,1/12/2016,1/1/2017
14313 - Formations LPI 101 et 102,14313,CRINE JULIEN,Formation,Paris,LTS | Inter,Signée,OBREMSKI,OBREMSKI,4400,100%,1/12/2016,1/12/2016
14314 - Formation Linux Essentials,14314,CH ARGENTAN,Formation,Paris,LTS | Inter,Signée,OBREMSKI,OBREMSKI,1800,10%,1/12/2016,1/12/2016
14315 - Etude de faisabilite Open JDK,14315,BANQUE DE FRANCE,Infra,Paris,LPS | Forfait,Sans suite,CONTE,DUFAY,11500,0%,1/12/2016,1/12/2016
12434 - Evolutions GLPI,12434,AGENCE DE LA BIOMEDECINE,Infra,Paris,LPS | Forfait,Sans suite,VASSILIEFF,MAUDET,3000,20%,2/20/2014,7/21/2016
13750 - MOE intranet,13750,ORGANISATION INTERNATIONALE DE LA FRANCOPHONIE (ACCT),Studio,Paris,LPS | Forfait,Sans suite,VASSILIEFF,MAUDET,50000,0%,5/13/2015,2/26/2016
14316 - UGAP - Proxy-et-reverse proxy,14316,AP-HM,Infra,GSE,LPS | Forfait,Sans suite,PHILIPPENKO,VALENTIN,1,50%,1/13/2016,2/17/2016
14317 - UGAP - Accompagnement intégration GLPI,14317,AP-HM,Infra,GSE,LPS | Forfait,Signée,PHILIPPENKO,DANIEL,26093.88,10%,1/13/2016,1/28/2016
14318 - Formation Administration de la PKI EJBCA,14318,ATOS WORLDLINE,Formation,Paris,LTS | Inter,Signée,OBREMSKI,OBREMSKI,5150,100%,1/13/2016,1/13/2016
14149 - Support 2016,14149,LAGARDERE,LinID,Paris,LGS l Souscription,Signée,CONTE,MAUDET,15000,100%,1/1/2016,1/15/2016
14271 - support typo3 2016,14271,SIAAP,Support,Paris,LRS | Support,Sans suite,VASSILIEFF,MAUDET,6800,0%,1/1/2016,1/15/2016
14319 - Montée de version LibreOffice (5.1),14319,STEF-IT,Bureautique,Paris,LPS | Assistance,Sans suite,STG_SIRIGU,MAUDET,6250,0%,1/15/2016,1/18/2016
14320 - AT expert Tomcat,14320,FRANCE TELEVISIONS,Infra,Paris,LPS | Assistance,Signée,CONTE,MAUDET,35165.58,100%,1/15/2016,1/15/2016
14376 - TMA Humanité.fr 2016 (01/04-31/03),14376,L'HUMANITE,Studio,Paris,LPS | Forfait,Signée,ZAPOLSKY,MOUTON,45000,100%,9/17/2015,2/1/2016
14237 - UGAP - Pack 50 logiciels libres,14237,DGAC - DSNA - DTI,Support,Paris,LRS | Support,Signée,CONTE,MAUDET,40807.72,100%,1/5/2016,1/15/2016
14321 - Formation Nagios,14321,SAINT-GOBAIN INTERSERVICES,Formation,Paris,LTS | Inter,Gagnée,OBREMSKI,OBREMSKI,1500,100%,1/18/2016,1/18/2016
14322 - UGAP - POC intégration Firefox,14322,CD04,Infra,GSE,LPS | Forfait,Signée,PHILIPPENKO,CHAPELLON,15289,100%,1/18/2016,1/20/2016
14323 - OBM Assistance 2,14323,BRAKE FRANCE SERVICE,OBM,Paris,LGS l Service Assistance,Sans suite,ZAPOLSKY,CHAPELLON,15000,0%,1/19/2016,1/19/2016
13369 - [UGAP] Migration Samba 4,13369,VILLE DE FONDETTES,Infra,Paris,LPS | Forfait,Sans suite,BOISSONNET,MAUDET,10000,0%,12/12/2014,12/12/2014
14325 - support editeur 6 mois 01/01-30/06 obm et linshare,14325,CONSEIL GENERAL DE GUYANE,OBM,Paris,LGS l Souscription,Signée,CONTE,CHAPELLON,5000,100%,1/21/2016,1/21/2016
14326 - CPRP - UGAP - Liferay évolutions,14326,CPRP SNCF,Studio,GSE,LPS | Forfait,Signée,PHILIPPENKO,VALENTIN,7644.68,100%,1/21/2016,1/25/2016
14327 - Formation LPI 102,14327,INTRINSEC,Formation,Paris,LTS | Inter,Signée,OBREMSKI,OBREMSKI,2200,100%,1/22/2016,1/22/2016
14328 - SUJET SSO,14328,AIR LIQUIDE,LinID,Paris,LGS l Service Forfait,Sans suite,CONTE,CHAPELLON,10000,0%,1/22/2016,2/15/2016
14012 - Support Linshare avril 2016-2017,14012,VILLE DE NANTERRE,LinShare,Paris,LRS | Support,Signée,BENHADDOU,CHAPELLON,5000,100%,9/22/2015,1/18/2016
14329 - jours d'assistance a la demande WebSSO,14329,LAGARDERE,LinID,Paris,LGS l Service Assistance,Signée,CONTE,CHAPELLON,5000,100%,1/18/2016,1/18/2016
14330 - marché broadcast - MS1 - AT expert Tomcat,14330,FRANCE TELEVISIONS,Infra,Paris,LPS | Assistance,Signée,CONTE,CHAPELLON,34100,100%,1/25/2016,2/1/2016
20177 - SEP/SG FARANDOLE (Certificat),20177,MINEFI SLL 2012,LinPKI,Paris,LGS l Service Forfait,Signée,DANIEL,DANIEL,2530,100%,1/25/2016,1/27/2016
14335 - Support Ingres pour l'année 2017,14335,SNCF (DSIT),OSSA,Paris,LRS | OSSA,Sans suite,ZAPOLSKY,MAUDET,201300,0%,1/26/2016,12/31/2016
14336 - support intermédiaire 6 mois,14336,BANQUE POSTALE GRADIGNAN,OSSA,GSO,LRS | OSSA,Signée,DESCHUTTER,VALENTIN,30000,100%,1/26/2016,1/26/2016
14337 - Formation LPI-1,14337,AGEPASEF,Bureautique,Paris,LTS | Intra,Sans suite,MATONDO,VALENTIN,7500,0%,1/27/2016,1/27/2016
14338 - obmonline,14338,CRIC ASSO,OBM,GSO,LGS l Souscription,Qualification,DESCHUTTER,VALENTIN,600,50%,1/27/2016,1/27/2016
14339 - Revue config et Mise Ã  jour Opush,14339,BRAKE FRANCE SERVICE,Infra,Paris,LPS | Assistance,Signée,ZAPOLSKY,CHAPELLON,8000,100%,1/27/2016,1/28/2016
14341 - Audit outil statistique,14341,SYNDICAT FRANCAIS DE L'INDUSTRIE DES CIMENTIERS,Conseil,Paris,LCS | Assistance,Perdue,BENHADDOU,VALENTIN,10000,0%,1/27/2016,1/28/2016
12232 - [UGAP] Déploiement LinShare,12232,UNIVERSITE DE BOURGOGNE,LinPKI,Paris,LGS l Service Forfait,Qualification,BOSSHARD,MARTIN,6207,10%,12/16/2013,5/1/2016
14242 - montée en TLS sur OpenLDAP,14242,ELEPHANT VERT,LinID,Paris,LGS l Service Assistance,Signée,BENHADDOU,CHAPELLON,6000,100%,12/15/2015,3/14/2016
14343 - support 2017 + mise Ã  jour,14343,OIEAU,OBM,GSO,LGS l Souscription,Gagnée,DESCHUTTER,VALENTIN,5000,100%,1/29/2016,1/29/2017
13668 - UGAP - Nagios,13668,CONSEIL GENERAL DU VAR (CG 83),Infra,GSE,LPS | Assistance,Perdue,PHILIPPENKO,VALENTIN,1,30%,3/30/2015,5/14/2015
13670 - UGAP - GLPI,13670,CONSEIL GENERAL DU VAR (CG 83),Infra,GSE,LPS | Assistance,Sans suite,PHILIPPENKO,VALENTIN,1,0%,3/30/2015,5/14/2015
13546 - Hosting 2015 (01/04-31/03),13546,L'HUMANITE,Hosting,Paris,LRS | Hosting,Signée,ZAPOLSKY,MAUDET,50000,100%,2/18/2015,2/18/2015
13184 - [UGAP] Installation LinShare,13184,EPSM QUIMPER,LinShare,Paris,LGS l Service Assistance,Sans suite,STG_SIRIGU,MARTIN,3000,60%,10/1/2014,10/22/2014
13194 - [UGAP] Besoin Messagerie avec préférence Exchange Lead Adullact 2014,13194,MAIRIE DE FRANCHEVILLE,OBM,Paris,LGS l Souscription,Sans suite,BENHADDOU,MAUDET,20000,70%,10/2/2014,12/31/2014
13689  - UGAP - renouvellement Support 2016,13689,ASP PUBLIC,Support,GSO,LRS | Support,Signée,DESCHUTTER,VALENTIN,40807.72,100%,4/10/2015,2/1/2016
13707 - Hosting 2016 (01/04-31/03),13707,L'HUMANITE,Hosting,Paris,LRS | Hosting,Gagnée,ZAPOLSKY,MAUDET,50000,100%,2/1/2016,3/1/2016
14258 - Hosting 2016 (01/04-31/03),14258,VILLE DE FONDETTES,Hosting,Paris,LRS | Hosting,Sans suite,BOSSHARD,MAUDET,960,0%,1/1/2016,1/1/2016
14260 - support editeur 2016,14260,OIEAU,OBM,GSO,LGS l Souscription,Signée,DESCHUTTER,VALENTIN,5000,100%,1/1/2016,3/1/2016
14261 - Renouvellement OBM OL,14261,MANUFACTURE NATIONALE DE SEVRES,OBM,Paris,LGS l Souscription,Gagnée,VASSILIEFF,MAUDET,1440,100%,1/1/2016,3/1/2016
14342 - OBM online 4 comptes - 2016,14342,LE BARS - PARTICULIER,OBM,Paris,LGS l Service Forfait,Proposition Ã  remettre,BOSSHARD,BOSSHARD,80,30%,1/28/2016,1/29/2016
13735 - Accompagnement LL,13735,VILLE DE LAVAL (QC),Bureautique,CANADA,LCS | Forfait,Qualification,IVOL,MAUDET,20000,5%,2/2/2016,5/31/2017
14347 - webSSO,14347,SIAAP,LinID,Paris,LGS l Service Forfait,Qualification,VASSILIEFF,CHAPELLON,5000,20%,2/2/2016,5/31/2017
14348 - deploiement LInux,14348,AAIR DIALYSE A DOMICILE,Infra,GSO,LPS | Assistance,Signée,DESCHUTTER,VALENTIN,950,10%,2/2/2016,2/2/2016
14027 - Migration OBM,14027,TECH ADVANTAGE,OBM,Paris,LGS l Service Assistance,Sans suite,BENHADDOU,MAUDET,5000,0%,9/25/2015,9/29/2015
14349 - Fomation LPI 101,14349,EUROGICIEL,Formation,Paris,LTS | Inter,Signée,OBREMSKI,OBREMSKI,2200,100%,2/3/2016,2/3/2016
14350 - Support editeur premium PostgreSQL,14350,SUPERMARCHE MATCH,Support,Paris,LRS | Support,Perdue,BENHADDOU,MAUDET,20000,0%,2/3/2016,7/1/2016
14351 - support GLPI 2016,14351,SIAAP,Support,Paris,LRS | Support,Signée,VASSILIEFF,DUFAY,3900,100%,2/3/2016,2/3/2016
14353 - Migration vers OBM depuis Lotus,14353,FRANCAISE DES JEUX,OBM,GSE,LGS l Service Forfait,Sans suite,PHILIPPENKO,ZAPOLSKY,100000,0%,2/4/2016,4/7/2016
14354 - site femmes gouv fr,14354,MINISTERE DES AFFAIRES SOCIALES ET DE LA SANTE,Studio,Paris,LPS | Forfait,Sans suite,VASSILIEFF,MOUTON,40000,0%,2/4/2016,4/6/2016
14356 - AT S1,14356,GROUPE BERGER LEVRAULT,Développement,GSO,LPS | Assistance,Gagnée,DESCHUTTER,VALENTIN,37000,100%,2/4/2016,2/4/2016
14358 - Logiciels,14358,SIBA SENEGAL,OBM,Paris,LGS l Service Forfait,Sans suite,KISAKA,MAUDET,8000,0%,2/4/2016,3/25/2016
13506 - Support Linshare,13506,EPSM QUIMPER,LinShare,Paris,LGS l Souscription,Qualification,BOSSHARD,MARTIN,2000,1%,2/13/2015,2/13/2015
14360 - Mailincloud 60 BAL - Trois ans - fin : mai 2019,14360,SAVIMEX,OBM,GSE,LGS l Souscription,Signée,PHILIPPENKO,CHAPELLON,1250,100%,2/8/2016,2/16/2016
14361 - [UGAP] industrialisation de linshare,14361,DGAC - DSNA - DTI,LinShare,Paris,LGS l Service Forfait,Signée,CONTE,CHAPELLON,41790.97,100%,2/8/2016,2/9/2016
13860 - Guide d'usage de l'open source,13860,VILLE DE LAVAL (QC),Conseil,CANADA,LCS | Forfait,Sans suite,ROTH,IVOL,20000,0%,7/5/2015,7/22/2015
14362 - LOT 1 EDITORIAL - AO Création site internet,14362,TELECOM SUD PARIS,Studio,Paris,LPS | Forfait,Signée,BENHADDOU,MOUTON,7500,100%,2/9/2016,2/15/2016
14363 - application NOVOTIP,14363,UNIVERSITE PIERRE ET MARIE CURIE,Studio,Paris,LPS | Assistance,Perdue,VASSILIEFF,MOUTON,40000,0%,2/10/2016,2/10/2016
14364 - accompagnement Alfresco,14364,INSTITUT DES HAUTES ETUDES DE DEFENSE NATIONALE,Développement,Paris,LPS | Forfait,Sans suite,VASSILIEFF,MAUDET,30000,0%,2/10/2016,4/12/2016
14366 - Intervention Drupal 6 Guide du cloud Suite,14366,CBP,Studio,Paris,LPS | Assistance,Signée,ZAPOLSKY,MOUTON,6600,80%,2/11/2016,2/11/2016
14367 -  Migration BAL et options retenues,14367,OPH66,OBM,GSO,LGS l Service Forfait,Signée,DESCHUTTER,VALENTIN,10100,8%,2/11/2016,2/11/2016
14345 - Support Editeur LemonLDAP::NG 2016,14345,AGENCE NATIONALE DES FREQUENCES,Support,Paris,LGS l Service Assistance,Transférée,BENHADDOU,MAUDET,5000,0%,1/29/2016,3/1/2016
14369 - Formation LPI 101,14369,SOUKEINA,AUTRE,Paris,LTS | Intra,Sans suite,KISAKA,ZAPOLSKY,8000,0%,2/12/2016,4/4/2016
14370 - gouv.ci,14370,SNDI,Développement,Paris,LCS | Assistance,Sans suite,KISAKA,MAUDET,20000,0%,2/12/2016,3/14/2016
14371 - LinID,14371,CONSEIL GENERAL DU GARD,LinID,GSE,LGS l Service Forfait,Sans suite,STG_SIRIGU,MAUDET,1,0%,2/12/2016,7/13/2016
14372 -  Coffre fort numérique pour les RH,14372,EDF - DIRECTION DES ACHATS,LinSM,Paris,LGS l Service Forfait,Perdue,CONTE,MAUDET,100000,0%,2/15/2016,2/22/2016
14373 - Formation LPI 101,14373,UNIVERSITE SORBONNE NOUVELLE - PARIS 3,Formation,Paris,LTS | Inter,Signée,OBREMSKI,OBREMSKI,1050,100%,2/15/2016,2/15/2016
13994 - [UGAP] Besoins Outillage Déploiement parc d'appareil,13994,VILLE DE MARSEILLE,Studio,GSE,LPS | Forfait,Qualification,BOSSHARD,VALENTIN,3000,2%,11/1/2015,2/17/2016
20178 - Complément étude du socle Bofip,20178,MINEFI SLL 2012,Conseil,Paris,LPS | Forfait,Signée,DANIEL,DANIEL,4700,100%,2/17/2016,2/17/2016
14374 - TMA applications Web lot 4,14374,MINISTERE DE L'INTERIEUR - DSIC,Studio,Paris,LPS | Forfait,Perdue,VASSILIEFF,MOUTON,0,90%,2/17/2016,3/21/2016
14375 - OSSA CentOS et MySQL,14375,LA POSTE (COURRIER),OSSA,Paris,LRS | OSSA,Sans suite,CONTE,ZAPOLSKY,60000,0%,2/18/2016,2/18/2016
14377 - support Linshare 2016,14377,CONSEIL D'ETAT,OSSA,Paris,LRS | Support,Sans suite,VASSILIEFF,DUFAY,5000,0%,2/18/2016,3/10/2016
14378 - support lemonLDAP,14378,CONSEIL D'ETAT,OSSA,Paris,LRS | Support,Sans suite,VASSILIEFF,DUFAY,5000,0%,2/18/2016,3/10/2016
14379 - dev linshare et lemonLDAP,14379,CONSEIL D'ETAT,Développement,Paris,LPS | Forfait,Sans suite,VASSILIEFF,CHAPELLON,10000,0%,2/18/2016,3/16/2016
14380 - Formation Petals ESB,14380,NCTR,Petals,Paris,LTS | Intra,Sans suite,KISAKA,ESCUDIE,10000,0%,2/19/2016,3/1/2016
"14381 - Déploiement, en POC, d'un serveur LinPKI (EJBCA)",14381,SATT SUD-EST,LinPKI,GSE,LGS l Service Forfait,Perdue,PHILIPPENKO,VALENTIN,20000,0%,2/19/2016,2/29/2016
14382 - Support Linshare 1 an,14382,CENTRE HOSPITALIER DE WALLONIE-PICARDIE,LinShare,Paris,LRS | Support,Sans suite,BOSSHARD,MARTIN,5000,0%,2/19/2016,4/6/2016
14383 - AT complement Squid,14383,MAIF,Infra,Paris,LPS | Assistance,Signée,CONTE,MAUDET,1875,100%,2/19/2016,2/19/2016
13651 - UGAP - outils de GED Maarch,13651,MAIRIE D'ISTRES,LinPKI,GSE,LPS | Assistance,Qualification,BOSSHARD,MAUDET,5000,1%,3/20/2015,4/1/2015
14384 - VITAM lot1 constitution du backlog,14384,SERVICES PREMIER MINISTRE - DSAF,OpenPaaS,Paris,LGS l Service Forfait,Signée,VASSILIEFF,MOUTON,168500,100%,2/22/2016,2/22/2016
20179 - Evolution de l'infrastructure DNS,20179,MINEFI SLL 2012,Infra,Paris,LPS | Forfait,Sans suite,DANIEL,CHAPELLON,9340.88,0%,2/22/2016,2/22/2016
14385 - Support serveur LinPKI-EJBCA et stack logicielle,14385,SATT SUD-EST,LinPKI,GSE,LGS l Souscription,Perdue,PHILIPPENKO,VALENTIN,5000,0%,2/22/2016,2/23/2016
14387 - AO Prestation de conseil en architecture informatique,14387,AGENCE NATIONALE DES FREQUENCES,Conseil,Paris,LPS | Forfait,Perdue,BENHADDOU,MAUDET,100000,0%,2/23/2016,3/7/2016
14388 - Second nom de domaine infra OBM,14388,NALDEO,OBM,Paris,LGS l Service Assistance,Sans suite,BENHADDOU,CHAPELLON,5000,0%,2/23/2016,3/4/2016
14389 - Formation LPI 101 et 102,14389,SOLYSTIC,Formation,Paris,LTS | Intra,Signée,OBREMSKI,OBREMSKI,4200,100%,2/24/2016,2/24/2016
14390 - Intervention Drupal 6 Guide du cloud Suite2,14390,CBP,Studio,Paris,LPS | Assistance,Signée,ZAPOLSKY,CAMICAS,2250,100%,2/25/2016,2/25/2016
14391 - Formation LPI 101,14391,TISME MARTINEZ-THEO (STARINUX),Formation,Paris,LTS | Inter,Perdue,STG_BEKDACHE,VALENTIN,850,0%,2/26/2016,2/26/2016
14131 - FusionInventory,14131,MAIRIE DE CHATOU,Conseil,Paris,LCS | Forfait,Négociation,BOSSHARD,MAUDET,4700,30%,10/30/2015,2/1/2016
13724 - Renouvellement support S/MIME (01/05-30/04),13724,TECHNIP FRANCE,Support,Paris,LRS | Support,Sans suite,ZAPOLSKY,MAUDET,10000,0%,1/19/2016,1/19/2016
14250 - OSSA Socle 2016,14250,SNCF,OSSA,Paris,LRS | OSSA,Signée,MAUDET,MAUDET,148875.03,100%,1/1/2016,2/1/2016
14392 -  AT Open LDAP,14392,BIBILOTHEQUE PUBLIQUE D'INFORMATION (BPI),LinID,Paris,LGS l Service Assistance,Signée,CONTE,CHAPELLON,1250,100%,3/1/2016,3/2/2016
14393 - Formation Asterisk,14393,VALENCE AGGLO SUD RHONE-ALPES,Infra,RA,LPS | Forfait,Sans suite,PHILIPPENKO,MAUDET,1,0%,3/1/2016,3/18/2016
14394 - Contrat socles dans contrat Distributions,14394,SNCF,OSSA,Paris,LRS | OSSA,Sans suite,ZAPOLSKY,MAUDET,400000,0%,3/2/2016,3/2/2016
14395 - UGAP - Audit Centréon-Nagios,14395,CNMSS,Infra,GSE,LPS | Forfait,Négociation,BOSSHARD,VALENTIN,5000,2%,3/2/2016,3/10/2016
14396 - Cursus LPI,14396,GFI INFORMATIQUE,Formation,Paris,LTS | Inter,Négociation,MATONDO,VALENTIN,9200,30%,3/2/2016,3/2/2016
14397 - realasation de prestations diverses liées au dev de nvelles appli,14397,AGENCE DE L'EAU ARTOIS PICARDIE,Studio,Paris,LPS | Forfait,Sans suite,CONTE,MOUTON,150000,0%,3/2/2016,3/29/2016
14398 - accompagnement Redmine,14398,UNIVERSITE PIERRE ET MARIE CURIE,LinID,Paris,LGS l Service Forfait,Sans suite,VASSILIEFF,VALENTIN,16800,0%,3/2/2016,3/2/2016
14399 - intégration Redmine,14399,UNIVERSITE PARIS 4,Infra,Paris,LPS | Forfait,Sans suite,VASSILIEFF,VALENTIN,11513,0%,3/3/2016,3/9/2016
14400 - Paramétrage GED Maarch,14400,ARS NANTES,Infra,Paris,LPS | Forfait,Sans suite,BENHADDOU,MAUDET,100000,0%,3/3/2016,3/11/2016
14401 - [UGAP] Paramétrage Wordpress,14401,CD FINISTERE,Studio,Paris,LPS | Assistance,Signée,BENHADDOU,MAUDET,4841.64,100%,3/3/2016,3/7/2016
14402 - Cloture V1 Odoo,14402,INSTITUT DES HAUTES ETUDES DE DEFENSE NATIONALE,Développement,Paris,LPS | Forfait,Gagnée,VASSILIEFF,MAUDET,11513,100%,3/3/2016,3/11/2016
14403 - Support Logiciels Libres,14403,DGFIP,OSSA,Paris,LRS | OSSA,Gagnée,VASSILIEFF,MAUDET,451200,100%,3/4/2016,3/4/2016
14255 - Hosting 2016 (06/03-05/03),14255,LOISIR VACANCES JEUNESSES,Hosting,Netaktiv,LRS | Hosting,Gagnée,BUCAN,MAUDET,636,100%,3/6/2016,3/6/2016
20180 - Mise Ã  niveau des SSO,20180,MINEFI SLL 2012,LinID,Paris,LGS l Service Forfait,Signée,DANIEL,DANIEL,157716.38,100%,3/6/2016,3/7/2016
14415 - Assistance OpenStack,14415,COMMISSION DE PROTECTION DU TERRITOIRE AGRICOLE DU QUEBEC,OSSA,CANADA,LRS | Support,Sans suite,IVOL,IVOL,1500,0%,3/5/2016,3/9/2016
14404 - Formation LPI 102,14404,PROXIT,Formation,Paris,LTS | Inter,Perdue,OBREMSKI,OBREMSKI,2200,0%,3/7/2016,3/7/2016
14405 - Support OBM ( 01/01 - 31/12/2016),14405,UNIVERSITE PARIS OUEST NANTERRE LA DEFENSE,OBM,Paris,LGS l Souscription,Gagnée,ZAPOLSKY,MAUDET,40000,100%,3/7/2016,3/7/2016
14406 - Prolong marché + 3 mois->11/07/2016 + évolutions,14406,SERVICE D'INFORMATION DU GOUVERNEMENT (SIG),Studio,Paris,LPS | Forfait,Signée,ZAPOLSKY,MOUTON,47240.74,100%,3/7/2016,3/7/2016
14407 - Candidature AO Refonte et Hebergement site internet,14407,INSERM,Studio,Paris,LPS | Forfait,Perdue,BENHADDOU,MOUTON,0,0%,3/7/2016,3/14/2016
14408 - Refonte site internet avec UX,14408,ACTION CONTRE LA FAIM,Studio,Paris,LPS | Forfait,Sans suite,STG_SIRIGU,MOUTON,260000,0%,3/7/2016,6/16/2016
